SMI_Idx,Smiles,Products
0,[CH:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][c:7]([cH:8]1)[NH:9][c:10]2[n:11][cH:12][n:13][c:14]3[cH:15][c:16]([O:17][CH2:18][CH2:19][O:20][CH3:21])[c:22]([O:23][CH2:24][CH2:25][O:26][CH3:27])[cH:28][c:29]23,"['[CH2]=O', 'C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1', 'C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCO)cc23)c1']"
1,[O:1]=[c:2]1[nH:3][c:4]2[n:5][cH:6][n:7]([c:8]2[c:9](=[O:10])[n:11]1[CH3:12])[CH3:13],"['Cn1c(=O)[nH]c2nc[nH]c2c1=O', '[CH2]=O']"
2,[O:1]=[C:2]([NH:3][c:4]1[c:5]([cH:6][cH:7][c:8]([OH:9])[c:10]1[CH3:11])[CH3:12])[CH2:13][N:14]([CH2:15][CH3:16])[CH2:17][CH3:18],"['CCNCC(=O)Nc1c(C)ccc(O)c1C', 'C[CH]=O']"
3,[OH:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7]1)[N:8]3[CH2:9][CH2:10][N:11]([CH3:12])[CH2:13][CH:14]3[c:15]4[cH:16][cH:17][cH:18][cH:19][c:20]4[CH2:21]2,"['[CH2]=O', 'Oc1ccc2c(c1)N1CCNCC1c1ccccc1C2']"
4,[O:1]=[C:2]([O:3][c:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[O:10][C:11]([CH3:12])([CH3:13])[CH2:14]2)[N:15]([S:16][N:17]([CH2:18][CH2:19][CH2:20][CH3:21])[CH2:22][CH2:23][CH2:24][CH3:25])[CH3:26],"['CNC(=O)Oc1cccc2c1OC(C)(C)C2', 'CCCCN(CCCC)S=O']"
5,[O:1]=[C:2]([NH:3][c:4]1[c:5]([cH:6][cH:7][cH:8][c:9]1[CH3:10])[CH3:11])[CH2:12][NH:13][CH2:14][CH3:15],"['CCNCC(=O)Nc1c(C)ccc(O)c1C', 'Cc1cccc(C)c1NC(=O)CN', 'C[CH]=O']"
6,[O:1]([CH2:2][CH2:3][NH:4][CH3:5])[CH:6]([c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2,"['[CH2]=O', 'NCCOC(c1ccccc1)c1ccccc1']"
7,[S:1]=[P:2]([O:3][c:4]1[cH:5][cH:6][c:7]([S:8][CH3:9])[cH:10][cH:11]1)([O:12][CH2:13][CH3:14])[S:15][CH2:16][CH2:17][CH3:18],['CCCSP(=S)(OCC)Oc1ccc(S(C)=O)cc1']
8,[F:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)[CH:8]([c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[N:16]3[CH2:17][CH2:18][N:19]([CH2:20][CH:21]=[CH:22][c:23]4[cH:24][cH:25][cH:26][cH:27][cH:28]4)[CH2:29][CH2:30]3,"['O=[C](c1ccc(F)cc1)c1ccc(F)cc1', 'C(=Cc1ccccc1)CN1CCNCC1', 'O=[CH]C=Cc1ccccc1', 'Fc1ccc(C(c2ccc(F)cc2)N2CCNCC2)cc1']"
9,[O:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[CH:8]([O:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:16][N:17]([CH3:18])[CH3:19],"['[CH2]=O', 'CNCC(Oc1ccccc1)Oc1ccccc1']"
