Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4
O=C(O)CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)C2,1,0,0,0,0,0,0,1,1
O=C(O)c1ccccc1O,0,0,0,0,0,0,0,1,1
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0,0,0,0,1,0,0,1,1
CCCCCCCCCCCCCCCC(=O)O,0,0,0,0,0,0,0,1,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0,0,0,0,1,1,0,0,0
O=C1NC(=O)[C@](c2ccccc2)(c2ccc(O)cc2)N1,0,0,0,0,0,0,0,0,1
CCCc1ccc2ccccc2n1,0,1,0,0,1,1,0,1,1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0,0,0,0,0,0,1,0,0
COC(C)(C)C,0,1,0,0,0,0,0,1,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,0,0,0,0,0,0,1,0,1
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0,0,0,0,0,0,0,0,1
CCNc1nc(NC(C)(C)C)nc(SC)n1,1,0,1,0,0,0,0,0,1
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)OC[C@@H]3O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]3O)n2C1,0,0,0,1,1,0,0,0,0
CCN(CC)C(=O)c1cccc(C)c1,1,1,1,0,0,1,1,1,1
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1,0,1,1,1,1,1,0,1
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,0,1,0,0,0,0,0,1
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,1,0,1,1,1,1,1,1,1
O=[P@]1(N(CCCl)CCCl)NCCCO1,1,1,1,1,1,1,0,0,1
CC=O,0,0,0,0,0,0,0,1,0
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0,0,0,0,1,0,0,0,1
O=c1[nH]c(=O)n([C@@H]2CCCO2)cc1F,1,1,1,1,1,1,1,1,1
CCNCc1cc(=O)oc2cc(OC)ccc12,1,0,0,0,0,1,1,0,0
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,0,0,0,0,0,0,0,0,1
FC(F)OC(F)(F)[C@H](F)Cl,0,0,0,0,0,0,0,1,0
CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,0,0,0,0,0,0,0,1
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,0,0,0,0,0,0,0,0,1
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,0,0,0,1,1,0,0,0,0
COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@H]1O,0,0,0,0,0,0,1,0,1
CC(=O)Nc1ccccc1,1,0,0,0,0,0,0,0,0
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,0,0,0,0,0,0,0,0,1
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,0,0,0,0,0,0,0,0,1
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0,0,0,1,1,1,0,0,0
CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1,1,0,0,0,0,1,1,0,1
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,0,1,0,0,0,0,0,0,0
